,,Mean,SD,Mean_end,SD_end
33,67,0.8881329068973881,0.054517398136270295,0.905412635187377,0.002653386977513874
33,69,0.8877695614087753,0.056227261559942204,0.9052863358617541,0.0026560117478355914
20,1,0.8876077849710314,0.05643332293909374,0.9051547271381395,0.0026418995672079573
20,3,0.8875885449326661,0.05664453411164673,0.9051696630764697,0.002643083350324078
20,6,0.8876466304024749,0.056618120038297935,0.9052114375346698,0.0026417443731142952
20,13,0.8877290685069616,0.05540166840069731,0.9051232538230809,0.002639111536082638
20,14,0.8877716065084885,0.05473141388605849,0.905219427743824,0.0026456800933758375
20,16,0.8877802302388994,0.05582683176726752,0.9052234310992533,0.002643634114762843
20,17,0.8876820720354749,0.0552079338537391,0.9051918128098058,0.0026468158811640604
20,18,0.8878134573407159,0.05606607666438203,0.9052160968222667,0.0026401780942952053
20,21,0.8887038239454036,0.05436884363476263,0.9050731774569759,0.002637952143546742
20,22,0.8877884900213195,0.05558783754952035,0.9051944602687675,0.0026430700166578088
20,29,0.8877646772604096,0.05436183341682957,0.9051701080219432,0.002645638726259052
20,37,0.8877584525769212,0.05556420760051084,0.9051949462554515,0.002645497056359468
20,38,0.8876945684633154,0.054407471090526634,0.9051794473950109,0.0026476188015169557
20,39,0.8878307755075104,0.05609575622381847,0.9053820733648439,0.0026396364747197617
20,40,0.8878099790971687,0.05542024389042313,0.9053349443551048,0.0026436272610690977
20,48,0.8857907677855813,0.07107832820027331,0.9052786151508551,0.002643061685620827
20,49,0.8882068678935019,0.05123583777562906,0.9053915493658279,0.0026377720144911553
20,50,0.8882062966360548,0.052128042724430314,0.9053784312582276,0.0026354627038601697
20,51,0.8856881634085572,0.07122314861021682,0.9051683120627629,0.0026463199245688193
20,52,0.8852590695958774,0.07301914958596276,0.9052584075367752,0.0026489182464894522
20,53,0.8852026097068941,0.07296692388967885,0.9051872312489684,0.002644719137692446
20,54,0.8868633958780335,0.06762080482033235,0.9053680095683264,0.0026540946255191617
20,59,0.8885818493514269,0.05038838725263737,0.9052342620685041,0.0026432498102832397
20,60,0.888391708140898,0.05225390929552257,0.9053075915265519,0.0026476235490719598
20,61,0.888392241527164,0.0522508181344916,0.905307774830619,0.002647710167351113
