,,Mean,SD,Mean_end,SD_end
15,7,0.8919803172878601,0.04264222323529966,0.8994479123018945,0.0005519183148202645
15,8,0.8920095557163954,0.052584326315988264,0.906487264184288,0.0001665873127821064
15,9,0.9861312716573735,0.6035029719118811,0.9096640667544473,0.0005124431949339633
15,10,0.8886158937207098,0.07476896978290988,0.8996097388094826,0.0003730345804194195
15,11,0.9181369091426524,0.3386892165266868,0.8990876381449333,0.00025305205028235475
15,12,0.8973669129906471,0.1094487930359655,0.8993831742755504,0.00032558157729770093
15,13,0.8935148924434471,0.08355838283417057,0.903442850002296,0.0002862302756995749
15,14,0.978103522111345,0.7418397677149406,0.8840004390164647,0.008200802827294757
15,16,0.8954334050729812,0.06789772330395773,0.8975188976333838,0.0003081710176640501
15,17,0.8925095722758822,0.04573434203527207,0.9003316354941413,0.00031561326244809924
15,18,0.8928882372831377,0.046781288232613266,0.8994720916593882,0.0005515022212470186
15,19,1.1636741319444213,2.607837639736922,0.9069822336974437,0.0004973514215834025
15,20,0.8837436224345669,0.08999651494733435,0.8996265950248342,0.00024346461753806906
15,21,0.8884420251000433,0.07222277998246757,0.9120026419803633,0.0009729704268651304
15,22,0.8838902911965111,0.06994688965363875,0.8972430992815522,0.00029708092425699973
15,23,0.9396923906926115,0.5125005176012079,0.8982376030075573,0.0002091404739585337
15,24,0.8959880627424133,0.11069870455086915,0.9017194739358739,0.00013758649552963412
11,1,0.9017160161022304,0.5019399016893529,0.81233263857885,0.1301730451099657
11,2,0.9919127895938189,0.8615251404580313,0.8981323248400063,0.0005843288518345884
11,3,0.9201925153926616,0.6675222711870125,0.8125142075314711,0.1345481948632294
11,4,0.8893967353988559,0.07417270820994504,0.8999896081707673,0.00030313713108514874
11,5,0.8893406367251615,0.07421962621506312,0.8999276627576792,0.00030261845533348364
11,6,0.8896094583127585,0.07444884617156391,0.8997120111785947,0.0002988110730418439
11,7,1.1104759363473538,2.3636005966973084,0.9060784412840521,0.0011045741947939727
11,8,0.8950533641768335,0.06825971283060124,0.9022206134287256,0.00015850863147138435
11,9,0.904262098622923,0.18541363767259755,0.902083127660601,0.0001772459705823794
11,10,0.8881262433843803,0.07080712681109257,0.9002540870705797,0.00032712386382116555
11,12,0.9359663432725351,0.4825136694139888,0.9001902582229436,0.00021368280825567854
11,13,0.9549052835710219,0.6507551463546033,0.9002077638794095,0.00022409217316237925
11,14,0.8905504470983419,0.07674207324620218,0.9002897887773406,0.0003117366436953088
11,15,0.9165040113854394,0.3508040902613118,0.8975849992852952,0.0002604539089134127
11,16,0.9102886431123098,0.26953095955011364,0.8985354472220489,0.00031167891784664837
11,17,0.8884977782123441,0.08952354230669957,0.8985006142164919,0.00035561521055951805
11,18,0.9284044397335929,0.3994059260797734,0.8974678280859741,0.0005682218082402111
11,19,0.9183691795859713,0.36964905069307297,0.8984100612109902,0.00032093809825035706
11,20,0.903932827065119,0.18650752853813715,0.9016917769179729,0.0003712603754142067
11,21,0.8952706808892351,0.0650293970640741,0.902952939762578,0.00013848198938545936
11,22,0.8927326313886745,0.22325797420924318,0.9002271641407108,0.0006586915588357645
11,23,0.8880319037025227,0.07330350459506986,0.9002850668275144,0.00032254066006358995
11,24,0.9706055511380027,0.9473888481432128,0.8968048993198624,0.0016239885664480027
23,1,0.89040030200782,0.0497455842984328,0.8984730314587832,0.00029841655009721135
23,3,0.8904497775521601,0.05156279944499063,0.8984795470469285,0.0003039725176912449
23,4,1.5044881340521836,5.585937158938882,1.2680291693700716,1.1969725058409604
23,5,0.9649745956545914,0.6291644939262748,1.176993280473676,0.9331123032383424
23,6,1.0024182262891836,0.918860849940422,0.9958082546211614,0.07435084288721544
23,7,0.9838413795186879,0.9842274654447829,0.9013612064619159,0.0001894703888587621
23,8,0.9003464220665693,0.15497036251424998,0.9034483735336891,0.0002993185639051474
23,9,0.8900869852524618,0.0904152451649948,0.9013336731412653,0.00016037374044023227
23,10,0.892952280841776,0.07757888988372302,0.9004906649939862,0.00019105003052349458
23,11,0.888068170652761,0.07164453705464938,0.9002935213651753,0.00032299454857526714
23,12,0.8912141237709281,0.046879059666345806,0.8999252143298094,0.00031474049665781165
23,13,0.8943328737552556,0.13548304585800108,0.8919795906214798,8.564368158492497e-05
23,14,0.8883209870311062,0.07136647714373572,0.9003583422176946,0.0003139765287740026
23,15,0.8977899917778488,0.1385949378701907,0.8991004834203439,0.00021163201530305205
23,16,0.8989878091152725,0.14943114286196857,0.900086172622906,0.0003334227653880705
23,17,0.8984179781146931,0.09059228559043063,0.9000786779149196,0.00023624230705420097
23,18,1.0071638571451607,1.2313352187100386,0.9013950187810941,0.00019313616835811245
23,19,0.9133569314925645,0.30636500970411,0.8993032898562314,0.00022266007458977518
23,20,0.9688033702945928,0.8312057303239717,0.9013187265406947,0.00018655381632369994
23,21,1.1250542090650277,2.2625747099603584,0.9013955506823028,0.0001773670846316956
23,22,1.4109958406736702,5.593462119991385,0.8986899181707984,0.0006922171595129144
23,24,0.8875685467478263,0.07054603367261258,0.898477770943427,0.00023991627958617502
22,1,0.8954698053288269,0.10398752351828747,0.900388217051321,0.0006611314605547628
22,2,0.899233693792875,0.15849801330752578,0.9008806751607559,0.0007702629396956862
22,3,0.9093369436217671,0.20135466215401993,0.903594942750832,0.0006202264573038573
22,4,0.8956352996467551,0.07556327735955191,0.900863177072291,0.00010772045932034157
22,5,0.91894586650599,0.3956057139434187,0.9004324919033946,0.000148250399584858
22,6,0.8987229084689068,0.15212605639939022,0.9008954880015542,0.0007635872951501768
22,7,0.9605373386798226,0.7194938690104303,0.9015751221601535,0.00016517680471825975
22,8,0.9025525465927303,0.17989442210331497,0.9054539488170394,0.00018925302123946094
